MLP,Patente,Altura,Ancho,Largo,Modelo,Año,Largo Carga,Superficie Carga m3,Cantidad de Pallet,Capacidad de carga M3,Altura Carga,Ancho Carga,Tipo,SI
EntregAR,CDN909,02.05,2.26,6,DEUTZ AGRALE STARK-15 CH/CORTO,1998,4,09.04,2.918.333.333,7.004,0.85,02.06,Utilitario Largo,Si
Iflow,AE297AB,3,2.35,7.1,MERCEDES BENZ ACCELO 1016,2020,5.1,11.985,8.415,20.196,1.8,2.2,Chasis,Si
Iflow,AE139TV,3.2,2.3,7.2,MERCEDES BENZ ACCELO 815,2020,5.2,11.96,9.1,21.84,2,2.1,Chasis,Si
Iflow,AE685AY,3.3,2.35,7.1,MERCEDES BENZ ACCELO 815,2021,5.1,11.985,9.35,22.44,2,2.2,Chasis,Si
Iflow,LRQ787,3.2,2.3,7.4,IVECO DAILY,2012,5.4,12.42,9.45,22.68,2,2.1,Chasis,Si
Iflow,AC516DK,3,2.25,7.1,AGRALE A8700,2018,5.1,11.475,784.125,18.819,1.8,02.05,Chasis,Si
Loginter,ORY387,3.6,2.6,8.9,MERCEDES BENZ ATEGO 1418,2015,6.9,17.94,12.65,30.36,2,2.2,Chasis Pesado,Si
QX Logistica,EPI327,3.1,2.3,7.3,MERCEDES BENZ 710,2004,5.3,12.19,881.125,21.147,1.9,2.1,Chasis,Si
QX Logistica,FEH392,3,2.5,7.5,FORD CARGO 915,2005,5.5,13.75,9.075,21.78,1.8,2.2,Chasis,Si
QX Logistica,AER294,2.7,2.2,6.2,MERCEDES BENZ L710,1995,4.2,9.24,5.25,12.6,1.5,2,Chasis Liviano,Si
QX Logistica,GSE077,3.15,2.4,7.6,MERCEDES BENZ 710,2007,5.6,13.44,10.01,24.024,1.95,2.2,Chasis Pesado,Si
QX Logistica,AE385IC,3,2.3,7.4,RENAULT NUEVO MASTER CC,2020,5.4,12.42,8.505,20.412,1.8,2.1,Chasis,Si
QX Logistica,FVQ794,3.1,2.2,6.3,IVECO DAILY,2006,4.3,9.46,6.808.333.333,16.34,1.9,2,Chasis Liviano,Si
